"Month","Passengers","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","t","log_Passengers","t_square"
1995-01-01,112,1,0,0,0,0,0,0,0,0,0,0,0,1,4.71849887129509,1
1995-02-01,118,0,1,0,0,0,0,0,0,0,0,0,0,2,4.77068462446567,4
1995-03-01,132,0,0,1,0,0,0,0,0,0,0,0,0,3,4.88280192258637,9
1995-04-01,129,0,0,0,1,0,0,0,0,0,0,0,0,4,4.85981240436167,16
1995-05-01,121,0,0,0,0,1,0,0,0,0,0,0,0,5,4.79579054559674,25
1995-06-01,135,0,0,0,0,0,1,0,0,0,0,0,0,6,4.90527477843843,36
1995-07-01,148,0,0,0,0,0,0,1,0,0,0,0,0,7,4.99721227376411,49
1995-08-01,148,0,0,0,0,0,0,0,1,0,0,0,0,8,4.99721227376411,64
1995-09-01,136,0,0,0,0,0,0,0,0,1,0,0,0,9,4.91265488573605,81
1995-10-01,119,0,0,0,0,0,0,0,0,0,1,0,0,10,4.77912349311153,100
1995-11-01,104,0,0,0,0,0,0,0,0,0,0,1,0,11,4.64439089914137,121
1995-12-01,118,0,0,0,0,0,0,0,0,0,0,0,1,12,4.77068462446567,144
1996-01-01,115,1,0,0,0,0,0,0,0,0,0,0,0,13,4.74493212836325,169
1996-02-01,126,0,1,0,0,0,0,0,0,0,0,0,0,14,4.83628190695148,196
1996-03-01,141,0,0,1,0,0,0,0,0,0,0,0,0,15,4.94875989037817,225
1996-04-01,135,0,0,0,1,0,0,0,0,0,0,0,0,16,4.90527477843843,256
1996-05-01,125,0,0,0,0,1,0,0,0,0,0,0,0,17,4.8283137373023,289
1996-06-01,149,0,0,0,0,0,1,0,0,0,0,0,0,18,5.00394630594546,324
1996-07-01,170,0,0,0,0,0,0,1,0,0,0,0,0,19,5.13579843705026,361
1996-08-01,170,0,0,0,0,0,0,0,1,0,0,0,0,20,5.13579843705026,400
1996-09-01,158,0,0,0,0,0,0,0,0,1,0,0,0,21,5.06259503302697,441
1996-10-01,133,0,0,0,0,0,0,0,0,0,1,0,0,22,4.89034912822175,484
1996-11-01,114,0,0,0,0,0,0,0,0,0,0,1,0,23,4.7361984483945,529
1996-12-01,140,0,0,0,0,0,0,0,0,0,0,0,1,24,4.9416424226093,576
1997-01-01,145,1,0,0,0,0,0,0,0,0,0,0,0,25,4.97673374242057,625
1997-02-01,150,0,1,0,0,0,0,0,0,0,0,0,0,26,5.01063529409626,676
1997-03-01,178,0,0,1,0,0,0,0,0,0,0,0,0,27,5.18178355029209,729
1997-04-01,163,0,0,0,1,0,0,0,0,0,0,0,0,28,5.09375020080676,784
1997-05-01,172,0,0,0,0,1,0,0,0,0,0,0,0,29,5.14749447681345,841
1997-06-01,178,0,0,0,0,0,1,0,0,0,0,0,0,30,5.18178355029209,900
1997-07-01,199,0,0,0,0,0,0,1,0,0,0,0,0,31,5.29330482472449,961
1997-08-01,199,0,0,0,0,0,0,0,1,0,0,0,0,32,5.29330482472449,1024
1997-09-01,184,0,0,0,0,0,0,0,0,1,0,0,0,33,5.21493575760899,1089
1997-10-01,162,0,0,0,0,0,0,0,0,0,1,0,0,34,5.08759633523238,1156
1997-11-01,146,0,0,0,0,0,0,0,0,0,0,1,0,35,4.98360662170834,1225
1997-12-01,166,0,0,0,0,0,0,0,0,0,0,0,1,36,5.11198778835654,1296
1998-01-01,171,1,0,0,0,0,0,0,0,0,0,0,0,37,5.14166355650266,1369
1998-02-01,180,0,1,0,0,0,0,0,0,0,0,0,0,38,5.19295685089021,1444
1998-03-01,193,0,0,1,0,0,0,0,0,0,0,0,0,39,5.26269018890489,1521
1998-04-01,181,0,0,0,1,0,0,0,0,0,0,0,0,40,5.19849703126583,1600
1998-05-01,183,0,0,0,0,1,0,0,0,0,0,0,0,41,5.20948615284142,1681
1998-06-01,218,0,0,0,0,0,1,0,0,0,0,0,0,42,5.38449506278909,1764
1998-07-01,230,0,0,0,0,0,0,1,0,0,0,0,0,43,5.4380793089232,1849
1998-08-01,242,0,0,0,0,0,0,0,1,0,0,0,0,44,5.48893772615669,1936
1998-09-01,209,0,0,0,0,0,0,0,0,1,0,0,0,45,5.34233425196481,2025
1998-10-01,191,0,0,0,0,0,0,0,0,0,1,0,0,46,5.25227342804663,2116
1998-11-01,172,0,0,0,0,0,0,0,0,0,0,1,0,47,5.14749447681345,2209
1998-12-01,194,0,0,0,0,0,0,0,0,0,0,0,1,48,5.26785815906333,2304
1999-01-01,196,1,0,0,0,0,0,0,0,0,0,0,0,49,5.27811465923052,2401
1999-02-01,196,0,1,0,0,0,0,0,0,0,0,0,0,50,5.27811465923052,2500
1999-03-01,236,0,0,1,0,0,0,0,0,0,0,0,0,51,5.46383180502561,2601
1999-04-01,235,0,0,0,1,0,0,0,0,0,0,0,0,52,5.45958551414416,2704
1999-05-01,229,0,0,0,0,1,0,0,0,0,0,0,0,53,5.43372200355424,2809
1999-06-01,243,0,0,0,0,0,1,0,0,0,0,0,0,54,5.49306144334055,2916
1999-07-01,264,0,0,0,0,0,0,1,0,0,0,0,0,55,5.57594910314632,3025
1999-08-01,272,0,0,0,0,0,0,0,1,0,0,0,0,56,5.605802066296,3136
1999-09-01,237,0,0,0,0,0,0,0,0,1,0,0,0,57,5.46806014113513,3249
1999-10-01,211,0,0,0,0,0,0,0,0,0,1,0,0,58,5.35185813347607,3364
1999-11-01,180,0,0,0,0,0,0,0,0,0,0,1,0,59,5.19295685089021,3481
1999-12-01,201,0,0,0,0,0,0,0,0,0,0,0,1,60,5.30330490805908,3600
2000-01-01,204,1,0,0,0,0,0,0,0,0,0,0,0,61,5.31811999384422,3721
2000-02-01,188,0,1,0,0,0,0,0,0,0,0,0,0,62,5.23644196282995,3844
2000-03-01,235,0,0,1,0,0,0,0,0,0,0,0,0,63,5.45958551414416,3969
2000-04-01,227,0,0,0,1,0,0,0,0,0,0,0,0,64,5.4249500174814,4096
2000-05-01,234,0,0,0,0,1,0,0,0,0,0,0,0,65,5.4553211153577,4225
2000-06-01,264,0,0,0,0,0,1,0,0,0,0,0,0,66,5.57594910314632,4356
2000-07-01,302,0,0,0,0,0,0,1,0,0,0,0,0,67,5.71042701737487,4489
2000-08-01,293,0,0,0,0,0,0,0,1,0,0,0,0,68,5.68017260901707,4624
2000-09-01,259,0,0,0,0,0,0,0,0,1,0,0,0,69,5.55682806169954,4761
2000-10-01,229,0,0,0,0,0,0,0,0,0,1,0,0,70,5.43372200355424,4900
2000-11-01,203,0,0,0,0,0,0,0,0,0,0,1,0,71,5.31320597904179,5041
2000-12-01,229,0,0,0,0,0,0,0,0,0,0,0,1,72,5.43372200355424,5184
2001-01-01,242,1,0,0,0,0,0,0,0,0,0,0,0,73,5.48893772615669,5329
2001-02-01,233,0,1,0,0,0,0,0,0,0,0,0,0,74,5.4510384535657,5476
2001-03-01,267,0,0,1,0,0,0,0,0,0,0,0,0,75,5.58724865840025,5625
2001-04-01,269,0,0,0,1,0,0,0,0,0,0,0,0,76,5.59471137960184,5776
2001-05-01,270,0,0,0,0,1,0,0,0,0,0,0,0,77,5.59842195899838,5929
2001-06-01,315,0,0,0,0,0,1,0,0,0,0,0,0,78,5.75257263882563,6084
2001-07-01,364,0,0,0,0,0,0,1,0,0,0,0,0,79,5.89715386763674,6241
2001-08-01,347,0,0,0,0,0,0,0,1,0,0,0,0,80,5.84932477994686,6400
2001-09-01,312,0,0,0,0,0,0,0,0,1,0,0,0,81,5.74300318780948,6561
2001-10-01,274,0,0,0,0,0,0,0,0,0,1,0,0,82,5.61312810638807,6724
2001-11-01,237,0,0,0,0,0,0,0,0,0,0,1,0,83,5.46806014113513,6889
2001-12-01,278,0,0,0,0,0,0,0,0,0,0,0,1,84,5.62762111369064,7056
2002-01-01,284,1,0,0,0,0,0,0,0,0,0,0,0,85,5.64897423816121,7225
2002-02-01,277,0,1,0,0,0,0,0,0,0,0,0,0,86,5.62401750618734,7396
2002-03-01,317,0,0,1,0,0,0,0,0,0,0,0,0,87,5.75890177387728,7569
2002-04-01,313,0,0,0,1,0,0,0,0,0,0,0,0,88,5.74620319054015,7744
2002-05-01,318,0,0,0,0,1,0,0,0,0,0,0,0,89,5.76205138278018,7921
2002-06-01,374,0,0,0,0,0,1,0,0,0,0,0,0,90,5.92425579741453,8100
2002-07-01,413,0,0,0,0,0,0,1,0,0,0,0,0,91,6.02344759296103,8281
2002-08-01,405,0,0,0,0,0,0,0,1,0,0,0,0,92,6.00388706710654,8464
2002-09-01,355,0,0,0,0,0,0,0,0,1,0,0,0,93,5.87211778947542,8649
2002-10-01,306,0,0,0,0,0,0,0,0,0,1,0,0,94,5.72358510195238,8836
2002-11-01,271,0,0,0,0,0,0,0,0,0,0,1,0,95,5.6021188208797,9025
2002-12-01,306,0,0,0,0,0,0,0,0,0,0,0,1,96,5.72358510195238,9216
